id,isNew,isShow,filelink,filename,filedetails
1,Y,Y,Coding decoding test series.docx,Coding decoding test series,16-03-2020
2,Y,Y,"English 1, 2, 3 test key.docx","English 1, 2, 3 test key",16-03-2020
3,Y,Y,English Test 1.docx,English Test 1,16-03-2020
4,Y,Y,English Test 2.docx,English Test 2,16-03-2020
5,Y,Y,English Test 3.docx,English Test 3,16-03-2020
6,Y,Y,English Test Series 2.docx,English Test Series 2,16-03-2020
7,Y,Y,General Knowledge Questions.docx,General Knowledge Questions,16-03-2020
8,Y,Y,General Lnowledge Test.docx,General Lnowledge Test,16-03-2020
9,Y,Y,General-Knowledge-of-Pakistan.docx,General-Knowledge-of-Pakistan,16-03-2020
10,Y,Y,New General Knowledge Test.docx,New General Knowledge Test,16-03-2020
11,Y,Y,No verbal 3.jpg,No verbal 3,16-03-2020
12,Y,Y,Non verbal 2.jpg,Non verbal 2,16-03-2020
13,Y,Y,NON VERBAL 4.jpg,NON VERBAL 4,16-03-2020
14,Y,Y,NON VERBAL 5.jpg,NON VERBAL 5,16-03-2020
15,Y,Y,NON VERBAL 6.jpg,NON VERBAL 6,16-03-2020
16,Y,Y,NON VERBAL 7.jpg,NON VERBAL 7,16-03-2020
17,Y,Y,Non Verbal long.docx,Non Verbal long,16-03-2020
18,Y,Y,Non verbal.jpg,Non verbal,16-03-2020
19,Y,Y,Non-Verbal Test 1.docx,Non-Verbal Test 1,16-03-2020
20,Y,Y,Number series Test.docx,Number series Test,16-03-2020
21,Y,Y,Pakistan-General-Knowledge-Questions-Quizz.pdf,Pakistan-General-Knowledge-Questions-Quizz,16-03-2020
22,Y,Y,Questions for students.docx,Questions for students,16-03-2020
23,Y,Y,Test series 3.docx,Test series 3,16-03-2020
24,Y,Y,issbguidelines.pdf,ISSB Guidelines for cadets of class XII,19-03-2020
25,Y,Y,issb2.pdf,ISSB Group discussion topics and topics for extemporary speeches,19-03-2020
26,Y,Y,IMG-20200406-WA0000.jpg,<br> Join Pakistan Army,"All desirous candidates to join Pakistan Army should register themselves online on Pakistan Army's official website. As per the instructions provided by Pakistan Army, the test dates will be announced later but the online registration process will proceed ahead as per the normal routine from 6 April 2020 to 8 May 2020. \r\n<br><a href='https://www.joinpakarmy.gov.pk' target='_BLANK'>Register Now</a>"

