id,file_id,meta_key,meta_value_int,meta_value_string
2,8,photos-original_date_time,1730438842,NULL
4,10,photos-original_date_time,1372319469,NULL
6,11,photos-original_date_time,1341059531,NULL
8,13,photos-original_date_time,1730438842,NULL
10,14,photos-original_date_time,1341258636,NULL
12,15,photos-original_date_time,1444907264,NULL
14,16,photos-original_date_time,1341064060,NULL
16,17,photos-original_date_time,1341072915,NULL
18,18,photos-original_date_time,1526500980,NULL
19,56,photos-original_date_time,1730438842,NULL
20,7,photos-original_date_time,1729503350,NULL
21,20,photos-original_date_time,1729503348,NULL
22,21,photos-original_date_time,1729503348,NULL
23,23,photos-original_date_time,1729503348,NULL
24,24,photos-original_date_time,1729503348,NULL
25,26,photos-original_date_time,1729503348,NULL
26,27,photos-original_date_time,1729503348,NULL
27,28,photos-original_date_time,1729503348,NULL
29,762,photos-original_date_time,1730665341,NULL
30,944,photos-original_date_time,1732602814,NULL
32,950,photos-original_date_time,1732602815,NULL
34,954,photos-original_date_time,1732602815,NULL
36,955,photos-original_date_time,1732602815,NULL
38,956,photos-original_date_time,1732602815,NULL
40,957,photos-original_date_time,1732602815,NULL
42,958,photos-original_date_time,1732602815,NULL
44,960,photos-original_date_time,1732602815,NULL
46,961,photos-original_date_time,1732602815,NULL
48,962,photos-original_date_time,1732602815,NULL
49,1136,photos-original_date_time,1730886310,NULL

