XA,SUPPORT,ENGINE,COMMENT,SAVEPOINTS,TRANSACTIONS
NO,YES,Aria,Crash-safe tables with MyISAM heritage. Used for internal temporary tables and privilege tables,NO,NO
NO,YES,CSV,Stores tables as CSV files,NO,NO
NO,YES,MEMORY,"Hash based, stored in memory, useful for temporary tables",NO,NO
NO,YES,SEQUENCE,Generated tables filled with sequential values,YES,YES
NO,DEFAULT,MyISAM,Non-transactional engine with good performance and small data footprint,NO,NO
NO,YES,CSV,Stores tables as CSV files,NO,NO
NO,YES,Aria,Crash-safe tables with MyISAM heritage. Used for internal temporary tables and privilege tables,NO,NO
YES,YES,InnoDB,"Supports transactions, row-level locking, foreign keys and encryption for tables",YES,YES

